timestamp, temp, humi
1555092172.12, 23.001949, 1.541644
1555092173.12, 23.013376, 1.540267
1555092174.13, 23.014610, 1.541260
1555092175.13, 23.015818, 1.541754
1555092176.13, 23.008114, 1.541659
1555092177.14, 23.022707, 1.542231
1555092178.14, 23.012098, 1.540944
1555092179.14, 23.013371, 1.540373
1555092180.15, 23.009956, 1.540469
1555092181.15, 23.035044, 1.541800
1555092182.15, 23.019766, 1.542328
1555092183.15, 23.023415, 1.540716
1555092184.16, 23.021311, 1.541791
1555092185.16, 23.024216, 1.542027
1555092186.16, 23.015913, 1.541386
1555092187.17, 23.030680, 1.540133
1555092188.17, 23.028595, 1.541165
1555092189.17, 23.029060, 1.539844
1555092190.17, 23.027060, 1.540548
1555092191.18, 23.018536, 1.541643
1555092192.18, 23.032444, 1.541669
1555092193.18, 23.028734, 1.542031
1555092194.18, 23.036411, 1.540492
1555092195.19, 23.039259, 1.541815
1555092196.19, 23.042267, 1.539766
1555092197.19, 23.033464, 1.541213
1555092198.2, 23.036694, 1.542073
1555092199.2, 23.022430, 1.541270
1555092200.2, 23.031036, 1.541117
1555092201.21, 23.044731, 1.540784
1555092202.21, 23.043924, 1.541739
1555092203.21, 23.034071, 1.541652
1555092204.22, 23.043505, 1.541432
1555092205.22, 23.029772, 1.541723
1555092206.22, 23.033834, 1.540493
1555092207.23, 23.048307, 1.541521
1555092208.23, 23.033583, 1.541645
1555092209.23, 23.036856, 1.541964
1555092210.24, 23.045158, 1.541136
1555092211.24, 23.045391, 1.542012
1555092212.24, 23.037071, 1.542010
1555092213.25, 23.041962, 1.542326
1555092214.25, 23.050201, 1.542176
1555092215.25, 23.047527, 1.541816
1555092216.26, 23.048845, 1.541845
1555092217.26, 23.055773, 1.541450
1555092218.26, 23.046726, 1.542325
1555092219.26, 23.052063, 1.540986
1555092220.27, 23.041330, 1.540975
1555092221.27, 23.052389, 1.542541
1555092222.27, 23.050766, 1.542167
1555092223.27, 23.052788, 1.542488
1555092224.28, 23.063042, 1.539615
1555092225.28, 23.055843, 1.540572
1555092226.28, 23.054293, 1.540870
1555092227.28, 23.043959, 1.541365
1555092228.29, 23.055136, 1.541715
1555092229.29, 23.047825, 1.540947
1555092230.29, 23.070047, 1.541295
1555092231.29, 23.048889, 1.540914
1555092232.3, 23.055593, 1.542295
1555092233.3, 23.070675, 1.540596
1555092234.3, 23.069204, 1.540938
1555092235.31, 23.052626, 1.540965
1555092236.31, 23.061707, 1.541891
1555092237.31, 23.075361, 1.541946
1555092238.32, 23.079288, 1.541632
1555092239.32, 23.071472, 1.541758
1555092240.32, 23.055382, 1.541041
1555092241.33, 23.049431, 1.539593
1555092242.33, 23.065390, 1.539986
1555092243.33, 23.050262, 1.541376
1555092244.34, 23.068060, 1.540733
1555092245.34, 23.074333, 1.539807
1555092246.34, 23.078617, 1.540859
1555092247.34, 23.074837, 1.540605
1555092248.35, 23.064644, 1.540938
1555092249.35, 23.072100, 1.539908
1555092250.35, 23.076939, 1.540953
1555092251.35, 23.081007, 1.540485
1555092252.36, 23.061413, 1.540290
1555092253.36, 23.066811, 1.541513
1555092254.36, 23.083961, 1.540377
1555092255.37, 23.069038, 1.541230
1555092256.37, 23.078312, 1.541346
1555092257.37, 23.084137, 1.540483
1555092258.37, 23.080109, 1.540760
1555092259.38, 23.089586, 1.540315
1555092260.38, 23.093071, 1.541280
1555092261.39, 23.086653, 1.541291
1555092262.39, 23.098595, 1.540140
1555092263.39, 23.096907, 1.539239
1555092264.4, 23.079407, 1.538351
1555092265.4, 23.066833, 1.538958
1555092266.4, 23.076231, 1.538535
1555092267.4, 23.080156, 1.538093
1555092268.41, 23.079460, 1.538948
1555092269.41, 23.090054, 1.539324
1555092270.41, 23.094000, 1.539528
1555092271.42, 23.089010, 1.539180
1555092272.42, 23.103838, 1.538922
1555092273.42, 23.098785, 1.539396
1555092274.43, 23.096378, 1.538610
1555092275.43, 23.079294, 1.538500
1555092276.43, 23.099220, 1.538491
1555092277.44, 23.110622, 1.538042
1555092278.44, 23.094547, 1.538155
1555092279.44, 23.098085, 1.537701
1555092280.44, 23.097923, 1.538339
1555092281.45, 23.110722, 1.538819
1555092282.45, 23.103586, 1.538633
1555092283.45, 23.104584, 1.539175
1555092284.46, 23.103138, 1.539280
1555092285.46, 23.095390, 1.539385
1555092286.46, 23.097107, 1.539306
1555092287.46, 23.110741, 1.539457
1555092288.47, 23.108603, 1.539006
1555092289.47, 23.108541, 1.538195
1555092290.47, 23.086294, 1.537435
1555092291.47, 23.099331, 1.538358
1555092292.48, 23.101706, 1.538421
1555092293.48, 23.110016, 1.538735
1555092294.48, 23.112495, 1.539345
1555092295.48, 23.114908, 1.539261
1555092296.49, 23.105387, 1.539828
1555092297.49, 23.102154, 1.539213
1555092298.49, 23.114841, 1.538927
1555092299.5, 23.101278, 1.538477
1555092300.5, 23.110563, 1.538043
1555092301.5, 23.114559, 1.538506
1555092302.5, 23.112875, 1.539413
1555092303.51, 23.103731, 1.538960
1555092304.51, 23.116892, 1.539719
1555092305.51, 23.125793, 1.538616
1555092306.51, 23.111708, 1.538558
1555092307.52, 23.116539, 1.539057
1555092308.52, 23.132124, 1.538153
1555092309.52, 23.109314, 1.539050
1555092310.53, 23.119524, 1.539232
1555092311.53, 23.127411, 1.539505
1555092312.53, 23.143179, 1.539657
1555092313.54, 23.124844, 1.538019
1555092314.54, 23.114729, 1.538317
1555092315.54, 23.130671, 1.538797
1555092316.54, 23.118679, 1.539291
1555092317.55, 23.113819, 1.538189
1555092318.55, 23.126183, 1.538063
1555092319.55, 23.114967, 1.538249
1555092320.56, 23.103354, 1.538190
1555092321.56, 23.129795, 1.537395
